school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Combined","TAS",null,"Independent",null,null,null,null,null,null,null,"Outer Regional","Poatina",99,"Outer Regional Australia","2016",146.961642,-41.793743
"Primary","NSW",474,"Government",221,938,23,474.0,16,253,"K-6","Major Cities","Wyong",101,"Major Cities of Australia","2016",151.426188,-33.271886
"Primary","NSW",651,"Government",320,971,31,651.0,6,331,"K-6","Inner Regional","Orange",102,"Inner Regional Australia","2016",149.079358,-33.286947
"Special","VIC",201,"Government",56,null,33,198.2,11,145,"U","Inner Regional","Shepparton",103,"Inner Regional Australia","2016",145.415292,-36.367444
"Primary","VIC",null,"Independent",null,null,null,null,null,null,null,"Major Cities","Moorooduc",104,"Major Cities of Australia","2016",145.094107,-38.247415
"Primary","QLD",269,"Government",138,858,21,269.0,30,131,"Prep-6","Major Cities","Riverview",105,"Major Cities of Australia","2016",152.846753,-27.603608
"Secondary","QLD",733,"Government",348,922,63,733.0,4,385,"7-Dec","Outer Regional","Sarina",106,"Outer Regional Australia","2016",149.213682,-21.420391
"Secondary","QLD",785,"Government",358,897,69,666.5,12,427,"7-Dec","Outer Regional","Heatley",107,"Outer Regional Australia","2016",146.7548,-19.286937
"Combined","QLD",1416,"Independent",709,1115,101,1416.0,24,707,"Prep-12","Major Cities","Arundel",108,"Major Cities of Australia","2016",153.360364,-27.927672
"Secondary","QLD",null,"Independent",null,null,null,null,null,null,null,"Major Cities","Varsity Lakes",109,"Major Cities of Australia","2016",153.412275,-27.963594
"Secondary","QLD",274,"Independent",26,null,18,274.0,null,248,"11-Dec","Outer Regional","Douglas",74991,"Outer Regional Australia","2016",146.7643507,-19.32244044
"Special","VIC",39,"Government",10,null,7,38.6,3,29,"U","Outer Regional","Warracknabeal",12650,"Outer Regional Australia","2016",142.386753,-36.249024
"Secondary","VIC",1673,"Catholic",816,1037,155,1671.6,3,857,"7-Dec","Inner Regional","Bendigo",74238,"Inner Regional Australia","2016",144.273362,-36.753444
"Primary","TAS",398,"Catholic",194,1061,29,398.0,2,204,"Prep-6","Inner Regional","Bellerive",74511,"Inner Regional Australia","2016",147.371473,-42.871256
"Combined","TAS",370,"Independent",370,1116,40,370.0,7,0,"Prep-12","Inner Regional","Sandy Bay",74512,"Inner Regional Australia","2016",147.3527644,-42.91615827
"Combined","TAS",172,"Independent",68,953,18,172.0,0,104,"Prep-12","Outer Regional","Latrobe",74513,"Outer Regional Australia","2016",146.438726,-41.226741
"Primary","TAS",392,"Catholic",175,989,27,392.0,1,217,"Prep-6","Inner Regional","Claremont",74514,"Inner Regional Australia","2016",147.248306,-42.789375
"Primary","TAS",169,"Catholic",81,1025,14,169.0,13,88,"Prep-6","Inner Regional","Lenah Valley",74515,"Inner Regional Australia","2016",147.290159,-42.865543
"Combined","TAS",102,"Independent",47,1037,12,102.0,0,55,"Prep-10","Inner Regional","Launceston",74516,"Inner Regional Australia","2016",147.144799,-41.447919
"Primary","TAS",171,"Catholic",94,997,14,171.0,2,77,"Prep-6","Inner Regional","St Leonards",74517,"Inner Regional Australia","2016",147.194752,-41.460784
"Primary","TAS",721,"Independent",353,1110,93,721.0,7,368,"Prep-12","Inner Regional","Mowbray",74518,"Inner Regional Australia","2016",147.128813,-41.408156
"Combined","TAS",225,"Catholic",101,896,23,225.0,0,124,"Prep-10","Outer Regional","Cygnet",74519,"Outer Regional Australia","2016",147.075798,-43.161812
"Primary","TAS",409,"Catholic",205,1044,27,409.0,7,204,"Prep-6","Inner Regional","Devonport",74520,"Inner Regional Australia","2016",146.355196,-41.18021
"Primary","TAS",107,"Catholic",52,985,12,107.0,0,55,"Prep-6","Outer Regional","Deloraine",74521,"Outer Regional Australia","2016",146.64995,-41.525172
"Primary","TAS",257,"Catholic",127,1001,18,257.0,3,130,"Prep-6","Outer Regional","Ulverstone",74522,"Outer Regional Australia","2016",146.186851,-41.155798
"Primary","TAS",148,"Catholic",83,969,17,148.0,0,65,"Prep-6","Outer Regional","Geeveston",74523,"Outer Regional Australia","2016",146.943967,-43.165474
"Primary","TAS",180,"Catholic",89,997,17,180.0,4,91,"Prep-6","Inner Regional","Riverside",74524,"Inner Regional Australia","2016",147.095,-41.4062
"Primary","TAS",190,"Catholic",98,905,16,190.0,1,92,"Prep-6","Outer Regional","Smithton",74525,"Outer Regional Australia","2016",145.131883,-40.845638
"Primary","TAS",191,"Catholic",91,988,14,191.0,2,100,"Prep-6","Inner Regional","New Norfolk",74526,"Inner Regional Australia","2016",147.056171,-42.78063
"Primary","TAS",135,"Catholic",67,969,14,135.0,0,68,"Prep-6","Outer Regional","Wynyard",74527,"Outer Regional Australia","2016",145.726855,-40.988286
"Primary","TAS",240,"Catholic",125,1019,16,239.5,4,115,"Prep-6","Inner Regional","Lindisfarne",74528,"Inner Regional Australia","2016",147.355348,-42.843192
"Primary","TAS",291,"Catholic",146,1028,20,291.0,0,145,"Prep-6","Outer Regional","Richmond",74529,"Outer Regional Australia","2016",147.441563,-42.733415
"Primary","TAS",72,"Catholic",29,970,8,72.0,3,43,"Prep-6","Remote","Rosebery",74530,"Remote Australia","2016",145.543953,-41.780321
"Primary","TAS",108,"Catholic",55,978,9,107.5,0,53,"Prep-6","Remote","Queenstown",74531,"Remote Australia","2016",145.559515,-42.081342
"Combined","TAS",862,"Catholic",806,1067,79,862.0,13,56,"Prep-12","Inner Regional","Hobart",74532,"Inner Regional Australia","2016",147.319127,-42.881231
"Primary","TAS",138,"Catholic",61,993,15,137.2,0,77,"Prep-6","Outer Regional","Latrobe",74533,"Outer Regional Australia","2016",146.418418,-41.235575
"Primary","TAS",200,"Catholic",103,1020,19,200.0,5,97,"Prep-6","Inner Regional","Moonah",74534,"Inner Regional Australia","2016",147.290228,-42.846795
"Combined","TAS",108,"Independent",45,908,13,108.0,31,63,"Prep-10","Inner Regional","West Moonah",74535,"Inner Regional Australia","2016",147.28761,-42.853786
"Combined","TAS",142,"Catholic",76,957,19,142.0,1,66,"Prep-10","Outer Regional","George Town",74536,"Outer Regional Australia","2016",146.829593,-41.107781
"Primary","TAS",374,"Catholic",175,1028,23,374.0,5,199,"Prep-6","Outer Regional","Burnie",74537,"Outer Regional Australia","2016",145.887728,-41.051103
"Combined","TAS",1237,"Independent",610,1155,154,1237.0,8,627,"Prep-12","Inner Regional","North Hobart",74538,"Inner Regional Australia","2016",147.313375,-42.869285
"Combined","TAS",1008,"Independent",0,1132,111,1007.2,6,1008,"Prep-12","Inner Regional","Sandy Bay",74539,"Inner Regional Australia","2016",147.330242,-42.905952
"Primary","TAS",70,"Independent",35,1092,9,70.0,17,35,"Prep-6","Inner Regional","Bellerive",74540,"Inner Regional Australia","2016",147.367494,-42.875405
"Combined","TAS",624,"Independent",311,1050,50,624.0,9,313,"Prep-12","Inner Regional","Riverside",74541,"Inner Regional Australia","2016",147.090571,-41.401842
"Primary","TAS",529,"Independent",250,980,53,528.1,3,279,"Prep-12","Outer Regional","Ulverstone",74542,"Outer Regional Australia","2016",146.195067,-41.153547
"Combined","TAS",69,"Independent",37,921,8,68.2,0,32,"Prep-10","Outer Regional","Penguin",74543,"Outer Regional Australia","2016",146.080384,-41.123571
"Combined","TAS",667,"Independent",667,1142,78,667.0,8,0,"Prep-12","Inner Regional","Hobart",74544,"Inner Regional Australia","2016",147.323435,-42.888185
"Combined","TAS",966,"Independent",478,1119,126,966.0,4,488,"Prep-12","Inner Regional","Launceston",74545,"Inner Regional Australia","2016",147.168873,-41.449213
"Primary","TAS",134,"Catholic",47,959,17,133.4,0,87,"Prep-6","Inner Regional","Clarendon Vale",74546,"Inner Regional Australia","2016",147.447,-42.8945
"Primary","TAS",109,"Independent",51,1112,13,109.0,0,58,"Prep-6","Inner Regional","Launceston",74547,"Inner Regional Australia","2016",147.158,-41.4374
"Combined","TAS",169,"Independent",79,938,17,169.0,0,90,"Prep-10","Inner Regional","Warrane",74548,"Inner Regional Australia","2016",147.383845,-42.851645
"Primary","TAS",297,"Catholic",152,1047,27,296.2,1,145,"Prep-6","Inner Regional","Newstead",74549,"Inner Regional Australia","2016",147.157534,-41.44512
"Primary","TAS",166,"Catholic",74,927,12,166.0,0,92,"Prep-6","Inner Regional","Bridgewater",74550,"Inner Regional Australia","2016",147.247605,-42.737339
