sa2_name16, total_65_74_yr, total_75_84_yr, total_45_54_yr, total_25_34_yr, total_0_14_yr, sa2_main16, total_15_24_yr, total_35_44_yr, total_total, total_85ov, total_55_64_yr
"Prahran - Windsor",1153,830,2008,6640,1642,"206061136",2183,3097,19474,367,1558
"Collingwood",327,185,904,2953,980,"206071141",987,1457,8493,67,637
"Hadfield",471,507,692,832,1020,"210031440",664,733,5589,161,507
"Fitzroy",738,438,1373,3231,1233,"206071142",1195,1804,11267,192,1052
"Sunbury",898,396,1935,1368,2577,"210041240",1777,1707,12522,182,1684
"Sunbury - South",2067,1053,3657,3729,5137,"210041241",3539,3530,26238,438,3081
"Hughesdale",474,357,988,1333,1288,"208021180",1042,1132,7473,164,700
"Blackburn South",884,838,1443,1200,1985,"207031162",1227,1373,10616,488,1175
"Wendouree - Miners Rest",1431,954,1662,1902,2824,"201011008",1800,1662,14273,452,1584
"Bacchus Marsh Region",631,243,942,535,1093,"201021009",617,775,5765,88,835
"Creswick - Clunes",1016,519,1034,647,1375,"201021010",735,870,7700,242,1260
"Surrey Hills (East) - Mont Albert",808,405,1458,1175,1730,"207031167",1417,1246,9805,282,1281
"Daylesford",1329,547,1442,626,1352,"201021011",636,1055,8903,260,1659
"Gordon (Vic.)",618,215,976,424,1084,"201021012",625,704,5545,63,834
"Avoca",560,229,430,205,504,"201031013",246,338,3195,67,613
"Beaufort",665,242,630,385,693,"201031014",348,504,4325,114,740
"Golden Plains - North",491,163,666,396,869,"201031015",487,573,4383,52,682
"Cheltenham - Highett (West)",819,470,1640,1255,2212,"208011171",1119,1736,10727,338,1150
"North Geelong - Bell Park",1603,1107,1753,1978,2356,"203021047",1647,1739,14529,648,1685
"Point Cook - South",347,48,1296,3028,4330,"213051466",1212,3383,14306,11,652
"Mildura Region",442,200,506,337,649,"215021398",378,419,3755,120,712
"Red Cliffs",540,306,803,656,1141,"215021399",693,630,5758,156,841
"Mildura - North",1845,1084,2190,2620,3325,"215021469",2414,2098,18330,494,2259
"Ocean Grove - Barwon Heads",2205,991,2880,2470,5039,"203031050",2237,3224,22506,503,2959
"Alfredton",777,367,1567,1497,2703,"201011001",1607,1589,11405,118,1172
"Flora Hill - Spring Gully",688,406,1022,1190,1640,"202011021",1978,1087,9276,267,1000
"Kangaroo Flat - Golden Square",1991,1338,2230,2724,3423,"202011022",2359,2215,19257,651,2331
"Maiden Gully",319,101,730,556,1310,"202011023",604,766,4975,22,564
"Strathfieldsaye",639,281,1165,777,2154,"202011024",1055,1246,8384,72,1002
"Docklands",556,120,1442,4373,870,"206041118",2116,1875,12486,22,1117
"Brighton East",1376,850,2526,1130,3218,"208011170",1800,1995,15510,680,1942
"East Melbourne",683,262,779,1616,375,"206041119",516,917,6195,180,867
"Kilmore - Broadford",1307,697,1983,1514,2784,"204011056",1879,1630,13654,240,1630
"Mansfield (Vic.)",1351,552,1499,1127,2207,"204011057",1376,1394,11303,205,1590
"Nagambie",566,302,537,356,624,"204011058",356,420,3940,118,674
"Seymour",679,426,839,646,967,"204011059",835,661,6235,198,984
"Seymour Region",400,144,639,631,856,"204011060",695,565,4563,50,584
"Upper Yarra Valley",14,11,49,18,27,"204011061",18,16,187,3,31
"Yea",585,242,474,225,588,"204011062",271,373,3462,83,623
"Benalla",1335,877,1309,933,1586,"204021063",1111,968,10072,481,1481
"Benalla Region",503,153,527,291,593,"204021064",316,349,3478,40,707
"White Hills - Ascot",812,390,1396,1937,2695,"202011025",1531,1391,11545,114,1287
"Bendigo Region - South",675,216,1145,696,1577,"202021026",797,875,7032,54,1007
"Rutherglen",505,231,571,304,652,"204021065",375,452,3761,100,575
"Wangaratta",1996,1397,2335,1998,3352,"204021066",2048,2134,18484,845,2373
"Wangaratta Region",1170,493,1474,664,1754,"204021067",866,1137,9344,147,1629
"Mount Baw Baw Region",773,314,919,449,1062,"205011077",670,676,6016,99,1057
"Trafalgar (Vic.)",810,396,964,816,1458,"205011078",789,894,7411,168,1115
"Warragul",1997,1116,2534,1990,3480,"205011079",2285,2040,18188,444,2305
"Alps - East",0,0,0,0,0,"205021080",0,0,4,0,4
"Bairnsdale",1635,1142,1768,1643,2594,"205021081",1654,1506,14365,560,1868
"Bruthen - Omeo",1107,460,1098,651,1333,"205021082",709,808,7532,95,1270
"Lake King",0,0,0,0,0,"205021083",0,0,0,0,0
"Lakes Entrance",1781,838,1227,747,1464,"205021084",766,950,9760,304,1677
"Orbost",1066,499,896,436,993,"205021085",473,537,6217,167,1155
"Paynesville",1291,646,698,376,757,"205021086",421,474,5944,225,1049
"Foster",1423,656,1179,676,1276,"205031087",720,804,8458,247,1487
"French Island",14,5,15,3,19,"205031088",0,13,98,0,28
"Portarlington",1472,683,899,438,919,"203031051",519,612,7161,290,1330
"Korumburra",1024,481,1260,837,1711,"205031089",889,1015,8827,252,1363
"Leongatha",1284,688,1438,1041,2105,"205031090",1138,1142,10617,299,1483
"Drouin",1688,946,1998,1991,3269,"205011076",1789,1760,15793,373,1978
"Phillip Island",1581,760,1335,909,1715,"205031091",799,1095,10133,368,1563
"Wilsons Promontory",3,0,3,3,3,"205031092",3,3,20,0,0
"Point Lonsdale - Queenscliff",761,468,455,209,510,"203031052",287,327,3879,226,627
"Torquay",1579,647,2523,1985,4151,"203031053",1727,2843,17810,248,2114
"Churchill",1164,425,1555,1215,2034,"205041094",1566,1261,11077,118,1740
"Moe - Newborough",1789,1098,2097,1883,2716,"205041095",2092,1736,16179,523,2237
"Morwell",1474,977,1776,1673,2349,"205041096",1688,1438,13660,439,1843
"Traralgon",2274,1449,3407,3706,5184,"205041097",3280,3261,26372,659,3164
"Yallourn North - Glengarry",352,146,660,512,893,"205041098",561,539,4398,47,690
"Alps - West",0,0,7,0,0,"205051099",3,0,21,0,3
"Longford - Loch Sport",654,222,635,413,683,"205051100",389,436,4280,55,793
"Maffra",1485,797,1679,1439,2604,"205051101",1528,1488,13334,298,2025
"Rosedale",413,152,647,762,752,"205051102",496,731,4635,49,631
"Sale",1337,841,1881,1849,2800,"205051103",1716,1726,14412,440,1815
"Yarram",785,386,718,432,752,"205051104",473,455,5139,166,974
"Wonthaggi - Inverloch",3281,1725,2853,1994,3611,"205031093",1906,2204,21660,740,3338
"Alexandra",1057,464,843,529,834,"204011054",461,647,6126,202,1076
"Euroa",984,537,800,464,899,"204011055",490,532,6058,253,1098
"Brunswick",1270,946,2567,7525,2620,"206011105",3589,4223,25095,401,1950
"Hampton",1444,803,2960,1555,3457,"208011172",2135,2333,17219,391,2139
"Bright - Mount Beauty",1516,556,2008,1680,2691,"204031069",1656,2045,14345,193,1997
"Chiltern - Indigo Valley",307,138,504,264,562,"204031070",317,356,3003,46,512
"Myrtleford",511,374,688,352,716,"204031071",441,450,4460,169,771
"Towong",815,405,849,451,935,"204031072",521,536,5683,186,997
"West Wodonga",1177,562,1956,1888,3226,"204031073",1934,1832,14655,277,1791
"Wodonga",1970,1064,3034,3540,4899,"204031074",3509,2999,24188,476,2696
"Flemington Racecourse",16,0,41,56,13,"206041120",27,49,226,0,19
"Yackandandah",478,204,691,301,884,"204031075",459,535,4338,93,690
"Rockbank - Mount Cottrell",207,66,447,704,335,"213041359",428,576,3081,10,308
"Point Nepean",2804,1408,2100,1373,2605,"214021383",1330,1849,16386,457,2471
"Brunswick East",499,381,1086,3517,1181,"206011106",1434,1877,10801,130,707
"Pascoe Vale South",621,482,1551,1166,1957,"206011109",1209,1535,9826,296,1013
"Airport West",694,555,974,1224,1162,"210011226",708,1090,7452,227,815
"Wallan",1003,308,2281,2447,3811,"209041224",2032,2286,16021,84,1762
"Whittlesea",784,427,1170,813,1602,"209041225",1012,1044,8010,190,970
"Doreen",966,222,2358,3571,6054,"209041430",2166,3775,20601,58,1441
"South Yarra - West",725,414,715,1646,472,"206041125",824,862,6709,325,724
"Wollert",285,93,716,2473,2478,"209041437",915,1539,9053,21,534
"Keilor East",3063,2304,3404,3081,4285,"210011229",2742,3468,25849,762,2732
"Niddrie - Essendon West",468,369,1089,869,1296,"210011230",836,1002,6857,215,706
"Ballarat",1257,809,1661,1429,1977,"201011002",1704,1423,12237,412,1570
"Bentleigh East (South)",1039,773,1895,1483,2661,"208021427",1384,1990,13114,415,1469
"Ballarat - North",2066,1209,3029,2953,4212,"201011003",2848,2762,22457,568,2809
"Aspendale Gardens - Waterways",573,327,1627,799,1784,"208031183",1362,1281,8849,90,997
"Bentleigh - McKinnon",1536,1040,3489,2392,4328,"208021174",2903,3071,21994,726,2506
"Smythes Creek",313,95,645,305,865,"201011007",515,532,3840,24,542
"Murrumbeena",536,361,1235,1615,1537,"208021181",1204,1414,9086,208,974
"Ballarat - South",2124,1204,2757,3598,4319,"201011004",3758,2882,23870,552,2668
"Buninyong",631,259,909,593,1468,"201011005",1348,895,7108,76,925
"Delacombe",598,289,875,953,1432,"201011006",1040,859,6922,144,736
"Maryborough (Vic.)",1163,805,930,664,1242,"201031016",843,753,7830,351,1077
"Maryborough Region",823,363,798,361,787,"201031017",467,464,5129,107,961
"Woodend",774,282,1096,458,1410,"202021031",701,972,6780,118,960
"Bendigo Region - North",487,194,699,325,831,"202031032",452,506,4265,61,712
"Bendigo",1396,878,1842,2185,2339,"202011018",2039,1749,14803,541,1838
"Loddon",1044,551,958,478,1121,"202031033",587,686,6900,236,1244
"Bannockburn",434,198,812,732,1665,"203011034",758,1005,6327,109,612
"Braeside",3,3,24,5,38,"208031184",16,11,118,0,14
"California Gully - Eaglehawk",1126,660,1392,1552,2376,"202011019",1580,1343,11683,242,1407
"Southbank",977,275,2569,8144,1069,"206041126",4274,3567,22820,49,1880
"Golden Plains - South",636,202,1080,643,1492,"203011035",691,935,6698,43,967
"Winchelsea",611,266,858,460,1105,"203011036",609,705,5614,118,882
"Carlton",611,343,1116,4789,1133,"206041117",8636,1595,19280,176,886
"East Bendigo - Kennington",1404,968,1663,1449,2098,"202011020",1996,1352,13216,593,1699
"Chelsea Heights",518,255,731,611,1014,"208031187",623,765,5214,60,636
"Castlemaine",1288,809,1515,1049,1580,"202021027",956,1287,10415,386,1551
"Castlemaine Region",1268,485,1316,508,1239,"202021028",727,880,8188,176,1595
"Heathcote",724,392,629,295,664,"202021029",362,439,4418,110,802
"Kyneton",1189,586,1398,836,1675,"202021030",1008,1227,9564,296,1344
"Belmont",1269,845,1599,2178,2319,"203021037",1770,1693,13737,584,1472
"Corio - Norlane",2237,1259,3398,3318,5069,"203021038",4294,3025,26139,399,3145
"Geelong",1213,710,1788,2104,1771,"203021039",1773,1616,13183,379,1827
"Geelong West - Hamlyn Heights",1464,944,2521,3071,3349,"203021040",2414,2604,19010,483,2161
"Lara",1347,618,2501,2471,3526,"203021043",2225,2688,17586,265,1945
"Carnegie",1181,752,1981,3999,2681,"208021176",2533,2613,17807,417,1638
