For_Sale_Both_Auction_Private_Treaty_MedianPrice, State, SA22016Name, Sold_Both_Auction_Private_Treaty_AveragePrice, For_Sale_Both_Auction_Private_Treaty_AveragePrice, SA22016Code, PropertyCategorisation, DateMonth, SA22016ID, DateYear
1100000.0,"VIC","Abbotsford",1117789.0,1246705.0,206071139,"House",10,1725,2019
750000.0,"VIC","Airport West",762989.9,755104.2,210011226,"House",10,1821,2019
2150000.0,"VIC","Albert Park",2121322.0,2627382.0,206051128,"House",10,1714,2019
389000.0,"VIC","Alexandra",387091.3,483862.1,204011054,"House",10,1640,2019
423329.0,"VIC","Alfredton",484013.2,435812.9,201011001,"House",10,1587,2019
1220000.0,"VIC","Alphington - Fairfield",1359082.0,1301298.0,206021110,"House",10,1696,2019
820000.0,"VIC","Altona",931461.6,907731.5,213021341,"House",10,1950,2019
610000.0,"VIC","Altona Meadows",629435.6,617744.9,213021342,"House",10,1951,2019
735000.0,"VIC","Altona North",748488.4,750654.3,213021343,"House",10,1952,2019
240000.0,"VIC","Ararat",260134.5,268551.9,215011386,"House",10,2000,2019
275000.0,"VIC","Ararat Region",302030.7,303703.3,215011387,"House",10,2001,2019
590000.0,"VIC","Ardeer - Albion",629725.7,624657.9,213011328,"House",10,1937,2019
2195000.0,"VIC","Armadale",2242433.0,2617315.0,206061135,"House",10,1721,2019
1022438.0,"VIC","Ascot Vale",1153074.0,1183666.0,206031113,"House",10,1699,2019
1500000.0,"VIC","Ashburton (Vic.)",1579225.0,1500127.0,207011146,"House",10,1732,2019
1050000.0,"VIC","Ashwood - Chadstone",1046619.0,1113098.0,212051319,"House",10,1928,2019
879000.0,"VIC","Aspendale Gardens - Waterways",882275.5,957570.6,208031183,"House",10,1771,2019
259000.0,"VIC","Avoca",298066.2,301779.9,201031013,"House",10,1599,2019
476745.0,"VIC","Bacchus Marsh",613445.7,520635.8,213041353,"House",10,1962,2019
505400.0,"VIC","Bacchus Marsh Region",549075.0,571121.6,201021009,"House",10,1595,2019
335000.0,"VIC","Bairnsdale",338159.7,365240.9,205021081,"House",10,1667,2019
490000.0,"VIC","Ballarat",626643.6,610800.7,201011002,"House",10,1588,2019
429995.0,"VIC","Ballarat - North",450779.1,471595.5,201011003,"House",10,1589,2019
340000.0,"VIC","Ballarat - South",352440.6,354680.5,201011004,"House",10,1590,2019
2500000.0,"VIC","Balwyn",2490065.0,2845297.0,207011147,"House",10,1733,2019
