sa2_name16, p_tot_sales_w, p_tot_professionals, p_tot_labourers, p_tot_tot, p_tot_managers, p_tot_mach_oper_drivers, p_tot_technictrades_w, sa2_main16, p_tot_clericaladminis_w, p_tot_occu_id_ns, p_tot_communpersnlsvc_w
"Prahran - Windsor",1035,4815,352,12157,2195,137,893,"206061136",1433,188,1112
"Rutherglen",125,243,325,1760,294,127,255,"204021065",192,29,173
"Wangaratta",920,1458,962,7862,801,547,1084,"204021066",953,109,1027
"Collingwood",320,1990,188,4711,749,73,375,"206071141",479,85,455
"Wangaratta Region",319,795,520,4756,1103,317,689,"204021067",463,71,479
"Trafalgar (Vic.)",279,544,407,3434,572,251,566,"205011078",381,51,382
"Warragul",720,1611,1031,8357,1163,459,1322,"205011079",989,129,937
"Alps - East",0,0,4,4,0,0,0,"205021080",0,0,0
"Bairnsdale",680,894,803,5729,628,360,867,"205021081",651,99,747
"Bruthen - Omeo",263,422,519,3479,680,263,515,"205021082",372,59,379
"Hadfield",185,394,193,2136,216,193,380,"210031440",318,41,213
"Fitzroy",374,2411,202,5427,898,83,324,"206071142",496,104,526
"Lake King",0,0,0,0,0,0,0,"205021083",0,0,0
"Sunbury",676,1070,502,6294,734,438,1053,"210041240",1002,66,757
"Sunbury - South",1435,2024,1082,13240,1423,1044,2154,"210041241",2237,217,1626
"Hughesdale",386,1231,213,3805,522,104,393,"208021180",530,55,367
"Lakes Entrance",370,504,472,3452,475,156,527,"205021084",402,67,490
"Orbost",163,329,323,2304,516,147,283,"205021085",218,41,287
"Paynesville",217,357,236,2086,279,117,319,"205021086",226,38,296
"Foster",248,443,513,3508,938,205,478,"205031087",325,51,313
"Wendouree - Miners Rest",623,784,856,5503,443,431,931,"201011008",687,99,654
"Bacchus Marsh Region",193,429,298,2698,384,245,447,"201021009",370,58,282
"Creswick - Clunes",250,501,358,3167,545,192,554,"201021010",373,47,343
"Golden Plains - North",166,297,231,1919,273,144,355,"201031015",223,38,196
"French Island",0,7,6,50,23,5,0,"205031088",3,0,3
"Daylesford",259,820,460,3891,696,162,549,"201021011",389,66,490
"Gordon (Vic.)",204,436,280,2660,451,200,434,"201021012",343,46,271
"Avoca",60,135,179,1209,325,98,140,"201031013",118,19,130
"Beaufort",123,195,222,1628,327,146,232,"201031014",174,36,177
"Point Cook - South",651,1893,442,6880,987,352,745,"213051466",1054,108,647
"Korumburra",354,475,530,4012,753,350,635,"205031089",413,78,415
"Leongatha",452,725,558,4781,914,335,745,"205031090",519,56,478
"Mildura Region",103,162,284,1745,604,145,157,"215021398",116,21,141
"Red Cliffs",285,302,408,2453,383,210,340,"215021399",231,54,244
"Mildura - North",795,1278,1062,6964,696,432,934,"215021469",744,113,908
"Phillip Island",480,639,462,4049,527,150,774,"205031091",412,75,527
"Wilsons Promontory",0,0,0,12,0,0,0,"205031092",0,0,5
"Blackburn South",428,1531,285,4705,690,124,500,"207031162",651,53,434
"Morwell",543,518,678,4472,354,414,721,"205041096",585,86,568
"Traralgon",1173,2186,1218,11911,1214,808,2023,"205041097",1740,212,1338
"Yallourn North - Glengarry",195,268,243,2088,204,229,408,"205041098",265,41,224
"Alps - West",0,0,3,17,5,0,0,"205051099",0,0,0
"Longford - Loch Sport",134,252,207,1670,326,87,278,"205051100",162,44,174
"Maffra",446,817,773,6065,982,553,1072,"205051101",643,98,692
"Surrey Hills (East) - Mont Albert",411,2037,174,5098,929,79,313,"207031167",669,62,421
"Rosedale",137,226,216,1848,454,165,286,"205051102",174,22,166
"Sale",633,1245,761,6155,698,289,986,"205051103",662,99,783
"Yarram",175,265,323,2144,491,162,283,"205051104",184,36,226
"Flora Hill - Spring Gully",482,1166,410,4341,447,156,483,"202011021",533,47,614
"Kangaroo Flat - Golden Square",906,1343,1262,8195,768,526,1200,"202011022",996,135,1060
"Maiden Gully",252,460,224,2538,318,162,457,"202011023",370,31,256
"Strathfieldsaye",422,1126,293,4219,546,166,531,"202011024",624,52,459
"Brighton East",732,2557,205,7322,1610,114,471,"208011170",945,100,592
"Cheltenham - Highett (West)",535,1616,250,5435,991,120,564,"208011171",767,63,536
"White Hills - Ascot",615,982,649,5639,556,378,959,"202011025",715,82,700
"Bendigo Region - South",306,712,326,3523,517,245,534,"202021026",452,53,366
"Mansfield (Vic.)",382,593,489,3911,701,206,646,"204011057",380,70,448
"Nagambie",110,222,316,1764,378,102,263,"204011058",168,29,170
"Seymour",263,276,467,2459,227,182,385,"204011059",284,38,335
"Seymour Region",113,280,213,2151,438,174,266,"204011060",229,43,398
"Upper Yarra Valley",4,3,10,67,6,4,21,"204011061",8,0,10
"Yea",106,216,195,1465,291,94,246,"204011062",140,29,147
