partial_inc_stated_tot_hhlds, hi1500_1999_tot_hhlds, hi3000_more_tot_hhlds, all_inc_ns_tot_hhlds, sa2_name16, hi150_299_tot_hhlds, hi650_799_tot_hhlds, hi500_649_tot_hhlds, hi1000_1249_tot_hhlds, hi1_149_tot_hhlds, hi400_499_tot_hhlds, sa2_main16, hi1250_1499_tot_hhlds, hi300_399_tot_hhlds, hi800_999_tot_hhlds, tot_tot_hhlds, neg_nil_income_tot_hhlds, hi2000_2499_tot_hhlds, hi2500_2999_tot_hhlds
454,718,364,256,"Mildura - North",218,702,459,623,64,650,"215021469",564,366,582,6830,92,444,276
242,357,469,44,"Strathfieldsaye",16,176,68,191,17,85,"202011024",220,32,152,2729,12,369,268
110,155,84,32,"Benalla Region",22,151,52,105,16,106,"204021064",126,42,123,1291,17,102,55
752,1127,2084,160,"Prahran - Windsor",173,375,249,607,53,374,"206061136",589,240,427,8983,155,1043,562
270,385,760,97,"Collingwood",165,166,118,218,50,207,"206071141",196,161,157,3729,86,464,249
156,244,141,84,"Hadfield",64,189,92,178,16,225,"210031440",178,75,146,2094,29,179,104
337,539,654,89,"Sunbury",53,219,127,333,29,188,"210041240",310,65,254,4142,51,530,353
653,1307,1112,233,"Sunbury - South",144,628,385,831,54,536,"210041241",795,208,598,9501,102,1197,722
373,361,987,89,"Fitzroy",154,195,160,250,47,231,"206071142",198,160,195,4129,81,406,241
198,317,530,50,"Hughesdale",61,141,93,199,29,156,"208021180",155,88,130,2767,82,336,208
332,569,211,220,"Wendouree - Miners Rest",152,605,363,575,30,651,"201011008",441,272,520,5667,71,449,195
172,256,241,58,"Bacchus Marsh Region",59,180,81,154,32,127,"201021009",170,62,122,2079,37,211,131
196,286,161,101,"Creswick - Clunes",90,295,173,279,23,319,"201021010",224,111,271,2933,40,235,127
250,347,231,111,"Daylesford",92,347,207,367,35,373,"201021011",289,149,339,3612,54,269,146
171,228,213,55,"Gordon (Vic.)",31,140,92,175,20,138,"201021012",139,54,144,1964,40,209,130
102,131,42,59,"Avoca",56,178,89,108,24,186,"201031013",101,68,115,1365,27,54,33
123,161,71,53,"Beaufort",41,171,89,166,17,169,"201031014",109,77,117,1561,37,97,59
119,205,91,42,"Golden Plains - North",47,174,78,152,12,140,"201031015",134,52,133,1632,26,161,70
296,609,929,43,"Point Cook - South",35,136,69,289,29,62,"213051466",303,29,195,4291,66,766,445
92,142,90,63,"Mildura Region",55,125,73,127,14,130,"215021398",106,56,140,1417,30,111,64
159,226,100,101,"Red Cliffs",52,190,95,189,20,211,"215021399",189,86,167,2069,28,197,77
300,387,655,86,"Blackburn South",71,241,172,284,24,301,"207031162",224,104,215,3803,64,373,306
241,420,317,85,"Flora Hill - Spring Gully",94,298,236,349,33,299,"202011021",279,127,290,3630,34,303,215
426,930,357,263,"Kangaroo Flat - Golden Square",171,816,485,795,43,707,"202011022",667,310,731,7758,84,639,332
137,221,202,18,"Maiden Gully",11,79,39,117,9,54,"202011023",140,13,76,1528,5,253,160
265,352,1116,53,"Surrey Hills (East) - Mont Albert",42,136,120,213,27,154,"207031167",205,52,148,3561,56,366,242
493,465,1753,134,"Brighton East",67,228,208,297,47,245,"208011170",270,107,230,5455,72,494,345
302,597,284,99,"White Hills - Ascot",61,327,178,372,20,240,"202011025",398,109,304,4118,25,550,254
193,333,281,50,"Bendigo Region - South",39,143,71,208,22,112,"202021026",203,31,162,2356,18,292,199
368,607,430,161,"Kilmore - Broadford",95,371,215,407,30,349,"204011056",404,140,372,4845,64,515,315
264,339,194,118,"Mansfield (Vic.)",78,304,204,321,36,313,"204011057",265,102,263,3233,53,242,142
